Country Name,Country Code,2014,2015,2016
Cambodia,KHM,40.8,42.4,
Kiribati,KIR,39.7,39.7,
St. Kitts and Nevis,KNA,,,
"Korea, Rep.",KOR,100,100,
Kuwait,KWT,100,100,
Latin America & Caribbean (excluding high income),LAC,82.32732853,82.47555086,
Lao PDR,LAO,70.5,70.9,
Lebanon,LBN,80.7,80.7,
Liberia,LBR,16.6,16.9,
Libya,LBY,96.6,96.6,
St. Lucia,LCA,90.5,90.5,
Latin America & Caribbean,LCN,83.00996695,83.15067982,
Least developed countries: UN classification,LDC,36.31038168,37.30924094,
Low income,LIC,27.8769956,28.26279998,
Liechtenstein,LIE,,,
Sri Lanka,LKA,95.1,95.1,
Lower middle income,LMC,51.57096975,52.22788869,
Low & middle income,LMY,60.92589606,61.5255842,
Lesotho,LSO,30.2,30.3,
Late-demographic dividend,LTE,78.67533905,79.44302132,
Lithuania,LTU,92,92.4,
Luxembourg,LUX,97.6,97.6,
Latvia,LVA,87.4,87.8,
"Macao SAR, China",MAC,,,
St. Martin (French part),MAF,,,
Morocco,MAR,76.6,76.7,
Monaco,MCO,100,100,
Moldova,MDA,76.4,76.4,
Madagascar,MDG,11.9,12,
Maldives,MDV,98,97.9,
Middle East & North Africa,MEA,91.08638846,91.13792823,
Mexico,MEX,85.1,85.2,
Marshall Islands,MHL,76.8,76.9,
Middle income,MIC,64.64305755,65.35299948,
"Macedonia, FYR",MKD,90.9,90.9,
Mali,MLI,24.2,24.7,
Malta,MLT,100,100,
Myanmar,MMR,79.5,79.6,
Middle East & North Africa (excluding high income),MNA,89.61472696,89.6601359,
Montenegro,MNE,95.6,95.9,
Mongolia,MNG,59.1,59.7,
Northern Mariana Islands,MNP,79.7,79.7,
Mozambique,MOZ,20.4,20.5,
Mauritania,MRT,39.7,40,
Mauritius,MUS,93.2,93.1,
Malawi,MWI,40.6,41,
Malaysia,MYS,96,96,
North America,NAC,99.97992445,99.9799024,
Namibia,NAM,34,34.4,
New Caledonia,NCL,100,100,
Niger,NER,10.8,10.9,
Nigeria,NGA,29.3,29,
Nicaragua,NIC,67.8,67.9,
Netherlands,NLD,97.7,97.7,
Norway,NOR,98.1,98.1,
Nepal,NPL,44.2,45.8,
Nauru,NRU,65.6,65.6,
New Zealand,NZL,,,
OECD members,OED,97.75613067,97.78039416,
Oman,OMN,96.7,96.7,
Other small states,OSS,62.85095726,62.91323396,
Pakistan,PAK,61.8,63.5,
Panama,PAN,74.5,75,
Peru,PER,75.4,76.2,
Philippines,PHL,73.2,73.9,
Palau,PLW,100,100,
Papua New Guinea,PNG,18.9,18.9,
Poland,POL,97.2,97.2,
Pre-demographic dividend,PRE,29.32484915,29.71801025,
Puerto Rico,PRI,99.3,99.3,
"Korea, Dem. People¡¯s Rep.",PRK,81.9,81.9,
Portugal,PRT,99.7,99.7,
Paraguay,PRY,87.8,88.6,
West Bank and Gaza,PSE,92.3,92.3,
Pacific island small states,PSS,67.78217804,67.70081718,
Post-demographic dividend,PST,99.22020019,99.22398698,
French Polynesia,PYF,98.5,98.5,
Qatar,QAT,98,98,
Romania,ROU,79,79.1,
Russian Federation,RUS,72.2,72.2,
Rwanda,RWA,60.8,61.6,
South Asia,SAS,44.38382424,44.77448107,
Saudi Arabia,SAU,100,100,
Sudan,SDN,23.6,,
Senegal,SEN,47.1,47.6,
Singapore,SGP,100,100,
Solomon Islands,SLB,29.5,29.8,
Sierra Leone,SLE,13.1,13.3,
El Salvador,SLV,74.2,75,
San Marino,SMR,,,
Somalia,SOM,,,
Serbia,SRB,96.5,96.4,
Sub-Saharan Africa (excluding high income),SSA,29.32380419,29.78690499,
South Sudan,SSD,6.7,6.7,
Sub-Saharan Africa,SSF,29.33034305,29.79363077,
Small states,SST,67.34089257,67.33406124,
Sao Tome and Principe,STP,34.6,34.7,
Suriname,SUR,79.2,79.2,
Slovak Republic,SVK,98.8,98.8,
Slovenia,SVN,99.1,99.1,
Sweden,SWE,99.3,99.3,
Swaziland,SWZ,57.5,57.5,
Sint Maarten (Dutch part),SXM,,,
Seychelles,SYC,98.4,98.4,
Syrian Arab Republic,SYR,95.7,95.7,
Turks and Caicos Islands,TCA,,,
Chad,TCD,12,12.1,
East Asia & Pacific (IDA & IBRD countries),TEA,73.90697866,74.79783181,
Europe & Central Asia (IDA & IBRD countries),TEC,86.94241813,87.07774811,
Togo,TGO,11.6,11.6,
Thailand,THA,93,93,
Tajikistan,TJK,95,95,
Turkmenistan,TKM,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,82.70490711,82.85376557,
Timor-Leste,TLS,40.4,40.6,
Middle East & North Africa (IDA & IBRD countries),TMN,89.57983708,89.62540375,
Tonga,TON,91,91,
South Asia (IDA & IBRD),TSA,44.38382424,44.77448107,
Sub-Saharan Africa (IDA & IBRD countries),TSS,29.33034305,29.79363077,
Trinidad and Tobago,TTO,91.5,91.5,
Tunisia,TUN,91.6,91.6,
Turkey,TUR,94.5,94.9,
Tuvalu,TUV,,,
Tanzania,TZA,15,15.6,
Uganda,UGA,19,19.1,
Ukraine,UKR,95.9,95.9,
Upper middle income,UMC,79.59041902,80.2660468,
Uruguay,URY,96.3,96.4,
United States,USA,100,100,
Uzbekistan,UZB,100,100,
St. Vincent and the Grenadines,VCT,,,
"Venezuela, RB",VEN,94.4,94.4,
British Virgin Islands,VGB,97.5,97.5,
Virgin Islands (U.S.),VIR,96.4,96.4,
Vietnam,VNM,76.3,78,
Vanuatu,VUT,57.9,57.9,
World,WLD,67.02651784,67.52874483,
Samoa,WSM,91.5,91.5,
Kosovo,XKX,,,
"Yemen, Rep.",YEM,,,
South Africa,ZAF,65.8,66.4,
Zambia,ZMB,43.7,43.9,
Zimbabwe,ZWE,37,36.8,
