Country Name,Country Code,2014,2015,2016
South Sudan,SSD,13282084034,9015221096,
Sub-Saharan Africa,SSF,1.77506E+12,1.60111E+12,1.498E+12
Small states,SST,5.21843E+11,4.44167E+11,4.31168E+11
Sao Tome and Principe,STP,348463457.9,317696178.7,351054248.5
Suriname,SUR,5240606061,4878731707,3620699735
Slovak Republic,SVK,1.00761E+11,87267593788,89551834323
Slovenia,SVN,49530147016,42776716631,43990635176
Sweden,SWE,5.73818E+11,4.95694E+11,5.11E+11
Swaziland,SWZ,4486261555,4137638727,3727303664
Sint Maarten (Dutch part),SXM,,,
Seychelles,SYC,1422530792,1437722206,1427323889
Syrian Arab Republic,SYR,,,
Turks and Caicos Islands,TCA,,,
Chad,TCD,13922223234,10888798114,9600761474
East Asia & Pacific (IDA & IBRD countries),TEA,1.27235E+13,1.32419E+13,1.34849E+13
Europe & Central Asia (IDA & IBRD countries),TEC,4.62395E+12,3.59744E+12,3.44863E+12
Togo,TGO,4482880424,4087628276,4399995987
Thailand,THA,4.06522E+11,3.99235E+11,4.0684E+11
Tajikistan,TJK,9236309138,7853450374,6951657159
Turkmenistan,TKM,43524210526,35799628571,36179885714
Latin America & the Caribbean (IDA & IBRD countries),TLA,6.0605E+12,5.15266E+12,4.99972E+12
Timor-Leste,TLS,1399000000,1441718600,
Middle East & North Africa (IDA & IBRD countries),TMN,1.56643E+12,1.43264E+12,
Tonga,TON,443475142.1,435430325.2,395159628.8
South Asia (IDA & IBRD),TSA,2.5771E+12,2.705E+12,2.89636E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.77506E+12,1.60111E+12,1.498E+12
Trinidad and Tobago,TTO,26175906133,23559287484,20989155540
Tunisia,TUN,47603227897,43156606852,42062549395
Turkey,TUR,9.34168E+11,8.59384E+11,8.57749E+11
Tuvalu,TUV,37259689.92,32673277.74,34218878.44
Tanzania,TZA,48197218327,45628247290,47431038892
Uganda,UGA,27927875336,27856380083,25527910091
Ukraine,UKR,1.33503E+11,91030959455,93270479389
Upper middle income,UMC,2.20996E+13,2.06795E+13,2.04775E+13
Uruguay,URY,57236013078,53274304215,52419720714
United States,USA,1.73931E+13,1.80366E+13,1.85691E+13
Uzbekistan,UZB,63067077179,66903804143,67220335570
St. Vincent and the Grenadines,VCT,727912814.8,737683555.6,770796555.6
"Venezuela, RB",VEN,,,
British Virgin Islands,VGB,,,
Virgin Islands (U.S.),VIR,3624000000,3765000000,
Vietnam,VNM,1.86205E+11,1.93241E+11,2.02616E+11
Vanuatu,VUT,814954307,742432131,773502895.9
World,WLD,7.88701E+13,7.45097E+13,7.55435E+13
Samoa,WSM,803574789.1,803976511.5,785916937.4
Kosovo,XKX,7386891336,6440501275,6649888889
"Yemen, Rep.",YEM,43228583935,37733919936,27317605346
South Africa,ZAF,3.50851E+11,3.17407E+11,2.94841E+11
Zambia,ZMB,27150630607,21154394546,19551093303
Zimbabwe,ZWE,15834069900,16072380200,16289212000
